Player,Team,Pos,Age,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,SH,SF,HBP,AVG,OBP,SLG,OPS
Anthony Volpe,NYY,SS,23,65,267,47,76,10,6,6,25,12,3,23,63,2,1,3,.285,.347,.434,.781
Jarren Duran,BOS,OF,27,65,266,39,70,17,9,5,27,14,3,25,67,1,2,3,.263,.331,.451,.782
Fernando Tatis,SD,OF,25,68,266,44,75,12,1,11,33,7,3,27,60,0,1,5,.282,.358,.459,.817
Maikel Garcia,KC,3B,24,63,265,43,69,13,3,5,36,15,0,20,46,2,2,0,.260,.310,.389,.699
Ezequiel Tovar,COL,SS,22,63,265,34,78,19,1,10,28,4,2,11,83,3,1,2,.294,.326,.487,.813
Jose Altuve,HOU,2B,34,64,264,37,76,12,0,9,22,9,3,18,53,0,0,3,.288,.340,.436,.776
Marcus Semien,TEX,2B,33,63,261,46,68,13,1,10,35,1,0,25,41,0,1,0,.261,.324,.433,.757
Bobby Witt,KC,SS,23,65,261,56,84,16,7,11,47,19,7,22,51,0,4,2,.322,.374,.563,.937
Julio Rodriguez,SEA,OF,23,66,259,29,69,5,0,5,24,14,4,17,78,0,0,2,.266,.317,.344,.661
William Contreras,MIL,C,26,64,259,49,80,17,1,8,46,4,0,27,57,0,2,2,.309,.376,.475,.851
Bryan Reynolds,PIT,OF,29,64,259,24,68,14,1,8,34,5,0,26,58,0,2,1,.263,.330,.417,.747
Mookie Betts,LAD,OF,31,65,257,48,80,14,3,10,35,9,1,45,29,0,0,0,.311,.414,.506,.920
Francisco Lindor,NYM,SS,30,63,255,37,61,15,0,10,31,9,3,20,47,0,2,6,.239,.307,.416,.723
Shohei Ohtani,LAD,DH,29,63,254,46,79,17,2,15,41,14,1,28,61,0,2,1,.311,.379,.571,.950
Ketel Marte,ARI,2B,30,63,252,41,71,14,2,13,35,1,0,22,55,0,5,3,.282,.340,.508,.848
Teoscar Hernandez,LAD,OF,31,66,252,38,66,13,1,15,47,4,2,23,80,0,0,3,.262,.331,.500,.831
Willy Adames,MIL,SS,28,64,250,33,60,17,0,9,43,8,2,29,64,0,1,1,.240,.320,.416,.736
Bryan De La Cruz,MIA,OF,27,63,250,30,62,10,0,11,28,1,1,19,68,0,2,1,.248,.301,.420,.721
Adley Rutschman,BAL,C,26,60,250,34,75,8,0,12,43,1,0,15,48,0,2,1,.300,.340,.476,.816
Jake Cronenworth,SD,2B,30,64,249,27,65,15,2,9,44,1,2,21,48,1,3,3,.261,.322,.446,.768
Yandy Diaz,TB,1B,32,63,248,24,61,12,1,4,29,0,0,25,37,0,2,2,.246,.318,.351,.669
Jeremy Pena,HOU,SS,26,64,248,35,75,10,1,5,23,9,4,9,43,1,2,4,.302,.335,.411,.746
Yordan Alvarez,HOU,OF,26,64,247,37,73,15,0,13,33,3,0,26,44,0,2,4,.296,.369,.514,.883
Matt Chapman,SF,3B,31,64,246,41,59,17,0,8,28,5,0,25,63,0,0,3,.240,.318,.407,.725
Jose Ramirez,CLE,3B,31,62,246,49,67,13,1,18,61,9,2,23,29,0,2,1,.272,.335,.553,.888
Anthony Rizzo,NYY,1B,34,64,245,29,55,7,0,7,25,0,0,15,46,0,1,6,.224,.285,.339,.624
Vladimir Guerrero,TOR,1B,25,64,245,30,72,12,0,7,30,2,0,36,47,0,0,1,.294,.387,.429,.816
Gunnar Henderson,BAL,SS,22,63,243,49,64,9,4,20,45,8,0,36,69,0,2,5,.263,.367,.580,.947
Pete Alonso,NYM,1B,29,63,243,36,59,16,0,14,31,1,0,24,55,0,1,4,.243,.320,.481,.801
